,start,end,country,type,subtype,killed,total_affected,est_damage,disaster_n,location
2643,2008-05-02 00:00:00,2008-05-03 00:00:00,Myanmar,Storm,Tropical cyclone,138366.0,2420000.0,4000.0,2008-0184,Irrawaddy division
2643,2008-05-02 00:00:00,2008-05-03 00:00:00,Myanmar,Storm,Tropical cyclone,138366.0,2420000.0,4000.0,2008-0184,Kungyangon
2643,2008-05-02 00:00:00,2008-05-03 00:00:00,Myanmar,Storm,Tropical cyclone,138366.0,2420000.0,4000.0,2008-0184, Kawhmu
2643,2008-05-02 00:00:00,2008-05-03 00:00:00,Myanmar,Storm,Tropical cyclone,138366.0,2420000.0,4000.0,2008-0184, Twantay
2643,2008-05-02 00:00:00,2008-05-03 00:00:00,Myanmar,Storm,Tropical cyclone,138366.0,2420000.0,4000.0,2008-0184, Kyauktan 
2643,2008-05-02 00:00:00,2008-05-03 00:00:00,Myanmar,Storm,Tropical cyclone,138366.0,2420000.0,4000.0,2008-0184,Yangoon division
2643,2008-05-02 00:00:00,2008-05-03 00:00:00,Myanmar,Storm,Tropical cyclone,138366.0,2420000.0,4000.0,2008-0184, Bago
2643,2008-05-02 00:00:00,2008-05-03 00:00:00,Myanmar,Storm,Tropical cyclone,138366.0,2420000.0,4000.0,2008-0184, Kayin
2643,2008-05-02 00:00:00,2008-05-03 00:00:00,Myanmar,Storm,Tropical cyclone,138366.0,2420000.0,4000.0,2008-0184, Kayah
2643,2008-05-02 00:00:00,2008-05-03 00:00:00,Myanmar,Storm,Tropical cyclone,138366.0,2420000.0,4000.0,2008-0184, Mon
2643,2008-05-02 00:00:00,2008-05-03 00:00:00,Myanmar,Storm,Tropical cyclone,138366.0,2420000.0,4000.0,2008-0184, Rangoon
2643,2008-05-02 00:00:00,2008-05-03 00:00:00,Myanmar,Storm,Tropical cyclone,138366.0,2420000.0,4000.0,2008-0184, Haing Gyi Isl.
2647,2008-05-29 00:00:00,2008-05-29 00:00:00,Nicaragua,Storm,Tropical cyclone,13.0,25000.0,,2008-0234,Leon
